,Cidade,Prefeito,Partido,Porcentagem,Quantidade
109, Xique-xique,Reinaldinho,MDB,55.65%,14573
110, Xique-xique,Reinaldinho,MDB,55.65%,14573
111, Xique-xique,Reinaldinho,MDB,55.65%,14573
112, Xique-xique,Reinaldinho,MDB,55.65%,14573
113, Xique-xique,Reinaldinho,MDB,55.65%,14573
114, Xique-xique,Reinaldinho,MDB,55.65%,14573
115, Xique-xique,Reinaldinho,MDB,55.65%,14573
116, Xique-xique,Reinaldinho,MDB,55.65%,14573
117, Xique-xique,Reinaldinho,MDB,55.65%,14573
118, Xique-xique,Reinaldinho,MDB,55.65%,14573
119, Xique-xique,Reinaldinho,MDB,55.65%,14573
120, Xique-xique,Reinaldinho,MDB,55.65%,14573
121, Xique-xique,Reinaldinho,MDB,55.65%,14573
122, Xique-xique,Reinaldinho,MDB,55.65%,14573
123, Xique-xique,Reinaldinho,MDB,55.65%,14573
124, Xique-xique,Reinaldinho,MDB,55.65%,14573
125, Xique-xique,Reinaldinho,MDB,55.65%,14573
126, Xique-xique,Reinaldinho,MDB,55.65%,14573
127, Xique-xique,Reinaldinho,MDB,55.65%,14573
128, Xique-xique,Reinaldinho,MDB,55.65%,14573
129, Xique-xique,Reinaldinho,MDB,55.65%,14573
130, Xique-xique,Reinaldinho,MDB,55.65%,14573
131, Xique-xique,Reinaldinho,MDB,55.65%,14573
132, Xique-xique,Reinaldinho,MDB,55.65%,14573
133, Xique-xique,Reinaldinho,MDB,55.65%,14573
134, Xique-xique,Reinaldinho,MDB,55.65%,14573
135, Xique-xique,Reinaldinho,MDB,55.65%,14573
136, Xique-xique,Reinaldinho,MDB,55.65%,14573
137, Xique-xique,Reinaldinho,MDB,55.65%,14573
138, Xique-xique,Reinaldinho,MDB,55.65%,14573
139, Xique-xique,Reinaldinho,MDB,55.65%,14573
140, Xique-xique,Reinaldinho,MDB,55.65%,14573
141, Xique-xique,Reinaldinho,MDB,55.65%,14573
142, Xique-xique,Reinaldinho,MDB,55.65%,14573
143, Xique-xique,Reinaldinho,MDB,55.65%,14573
144, Xique-xique,Reinaldinho,MDB,55.65%,14573
145, Xique-xique,Reinaldinho,MDB,55.65%,14573
146, Xique-xique,Reinaldinho,MDB,55.65%,14573
