Cidade;Prefeito;Partido;Porcentagem;Quantidade
 Dias D'ávila;Alberto Castro;PSDB;45,32;16922
 Dom Basílio;Roberval Galego;PL;0,62;5434
 Dom Macedo Costa;Guito;PT;52,38;1863
 Elísio Medrado;Linsmar Moura;PSD;51,29;3032
 Encruzilhada;Dr Lei;PSD;52,73;6173
 Entre Rios;Manoelito Argolo Junior;SOLIDARIEDADE;44,04;9624
 Érico Cardoso;Eraldo Félix;REPUBLICANOS;53,96;3710
 Esplanada;Nandinho da Serraria;PSDB;42,42;8525
 Euclides da Cunha;Dr Luciano;PDT;5,72;20057
 Eunápolis;Cordélia Torres;DEM;5,14;29925
 Fátima;Binho de Alfredo;PT;73,34;8841
 Feira da Mata;Valmir;PSD;57,17;2607
Feira de Santana;Zé Neto;PT;41,55;119862
 Filadélfia;Louro Maia;DEM;49,52;5771
Firmino Alves;Padre Aguinaldo;PDT;50,01;2092
 Floresta Azul;Gicélia Santana;PSB;7,85;4740
 Formosa do Rio Preto;Neo;PSD;53,52;8604
 Gandu;Leo de Neco;PP;65,19;11387
 Gavião;Laurindo Nazario;PSD;51,47;1826
 Gentio do Ouro;Roberio;PDT;54,51;4482
 Glória;David Cavalcanti;PP;58,49;5860
 Gongogi;Adriano Mendonça;PSD;52,26;1988
 Governador Mangabeira;Marcelo;PP;53,44;7095
 Guajeru;Galego;PSD;55,53;2800
 Guanambi;Nilo Coelho;DEM;59,07;29180
 Guaratinga;Marlene Dantas;DEM;46,16;5330
 Heliópolis;Mendonça;PL;52,34;5181
 Iaçu;Nixon;PSD;53,21;7675
 Ibiassucê;Adauto;DEM;58,63;3995
 Ibicaraí;Dra Monalisa;DEM;46,86;6591
 Ibicoara;Gil;PSC;52,57;6512
 Ibicuí;Marcos Galvão;PSD;51,13;4683
 Ibipeba;Demostenes;PSD;53,74;5959
 Ibipitanga;Beto;PDT;54,99;5588
 Ibiquera;Dr Ivan;PP;60,73;1902
 Ibirapitanga;Junilson de Boró;PSD;50,67;5438
 Ibirapuã;Calixto;PP;56,82;3205
 Ibirataia;Ana Cleia;PSD;43,89;4825
 Ibitiara;Wilson de Bududa;PSD;53,58;4985
 Ibititá;Nilvinha;PSD;5,12;6674
 Ibotirama;Dr Laercio Santana;PSB;51,83;8240
 Ichu;Gonzaga;PSD;53,58;2619
 Igaporã;Neto;PT;5,15;5228
 Igrapiúna;Manoel Ribeiro;PP;53,29;3657
 Iguaí;Rony Moitinho;PSD;52,06;7406
 Ilhéus;Marão;PSD;43,24;37290
 Inhambupe;Nena;PSD;69,84;13579
 Ipecaetá;Júnior Piaggio;PSD;58,79;6488
 Ipiaú;Maria;PP;49,87;11349
 Ipirá;Dudy;PSD;58,09;19856
 Ipupiara;Ascir Leite;PP;61,07;4150
 Irajuba;Sampaio;PP;53,17;2200
 Iramaia;Tunga;PP;58,04;4038
 Iraquara;Nino Coutinho;PSD;69,22;9683
 Irará;Derivaldo Pinto;PT;57,55;10460
 Irecê;Elmo Vaz;PSB;56,21;20427
 Itabela;Luciano Francisqueto;REPUBLICANOS;70,98;11705
 Itaberaba;Ricardo Mascarenhas;PP;47,05;16725
 Itabuna;Augusto Castro;PSD;3,95;40868
 Itacaré;Antonio de Anizio;PT;6,36;8008
 Itaeté;Zenildo Matos;DEM;58,87;4857
 Itagi;Dr Olival;DEM;54,42;4081
 Itagibá;Marquinhos;PC do B;47,73;4113
 Itagimirim;Luizinho;PODE;48,33;2261
 Itaguaçu da Bahia;Adãozinho;PSD;66,75;5732
 Itaju do Colônia;Djalma;PSD;50,52;2127
 Itajuípe;Marcone Amaral;PSD;56,84;7126
 Itamaraju;Dr Marcelo;PSDB;51,33;17592
 Itamari;Dr Tom;PP;71,78;3489
 Itambé;Candinho;PSD;45,03;6568
 Itanagra;Marcus Sarmento;PP;49,79;2348
 Itanhém;Mildson Medeiros;PSD;62,99;7333
 Itaparica;Zezinho;PTB;47,18;6482
 Itapé;Naeliton;PP;54,33;3566
 Itapebi;Peba;PP;58,43;3650
 Itapetinga;Rodrigo Hagge;MDB;70,31;23639
 Itapicuru;Moreira;PSD;61,73;10431
 Itapitanga;Ró de Beto;PSB;59,52;2872
 Itaquara;Marco Aurélio;PSB;54,22;2855
 Itarantim;Fábio Gusmão;PSD;5,36;5679
 Itatim;Daiane;PSD;55,27;5734
 Itiruçu;Dra Lorenna;PSD;58,18;3845
 Itiúba;Zé do Rádio;PP;48,33;10263
 Itororó;Paulo Rios;PP;71,75;8983
 Ituaçu;Phellipe Brito;PSD;0,49;5968
 Ituberá;Reges;PP;63,53;8442
 Iuiu;Reinalldo Góes;PSD;68,22;4641
 Jaborandi;Dr Marcos;PSDB;50,66;3900
 Jacaraci;Antonio Carlos;PSD;67,93;5658
 Jacobina;Tiago Dias;PC do B;45,82;19207
 Jaguaquara;Edione;PP;47,14;11685
 Jaguarari;Seu Antonio;PT;53,96;9411
 Jaguaripe;Arandas;PSD;57,21;6676
 Jandaíra;Adilson Leite;AVANTE;50,16;3607
 Jequié;Zé Cocá;PP;38,29;30301
 Jeremoabo;Deri do Paloma;PP;50,35;11509
 Jiquiriçá;Cascalho;PSB;7,22;5906
 Jitaúna;Patrick Lopes;PP;66,33;5637
 João Dourado;Di Cardoso;PL;52,35;7635
 Juazeiro;Suzana Ramos;PSDB;55,68;64229
 Jucuruçu;Lili;PSDB;50,42;3391
 Jussara;Tacinho Mendes;PP;52,65;5687
 Jussari;Valete;PSD;72,12;2607
 Jussiape;Dr Éder;PSD;54,76;3066
 Lafaiete Coutinho;Joao Vei;PP;52,04;1656
 Lagoa Real;Pedro Cardoso;MDB;50,98;4376
 Laje;Binho de Mota;PSD;52,81;8060
 Lajedão;Tonzinho;PROS;52,27;2026
 Lajedinho;Antonio Mário;PSD;59,99;1690
 Lajedo do Tabocal;Marquinhos Sena;PP;52,33;2505
 Lamarão;Pró Ninha;PT;57,16;3331
 Lapão;Marcio Messias;PSD;55,78;9904
 Lauro de Freitas;Moema Gramacho;PT;50,77;50680
 Lençóis;Vanessa Senna;PSD;57,25;3439
 Licínio de Almeida;Dr Fred;PC do B;1;6345
 Livramento de Nossa Senhora;Ricardinho;REDE;53,59;14550
 Luís Eduardo Magalhães;Junior Maraba;DEM;59,29;29982
 Macajuba;Luciano de Noé;PSD;5,55;4184
 Macarani;Selma Souto;PSD;55,97;5557
 Macaúbas;Aloisio;DEM;4,76;11414
 Macururé;Bergue de Josias;PC do B;68,84;3479
 Madre de Deus;Dailton Filho;PSB;59,44;7787
 Maetinga;Dra Aline;PL;59,66;3089
 Maiquinique;Jesulino Porto;DEM;53,35;3157
 Mairi;Jobope;PT;56,13;5706
 Malhada;Dr Gimmy;PT;52,13;5776
 Malhada de Pedras;Beto de Preto Neto;PSD;5,25;3365
 Manoel Vitorino;Silvany Barros;PSD;51,19;5003
 Mansidão;Djalma Ramos;SOLIDARIEDADE;38,23;3299
 Maracás;Soya;PDT;52,72;8106
 Maragogipe;Valnício Armede;PSD;60,94;15820
 Maraú;Manassés;PP;52,24;5739
 Marcionílio Souza;Corró;PP;52,36;3013
 Mascote;Arnaldo Lopes;REPUBLICANOS;73,25;5340
 Mata de São João;João Gualberto;PSDB;48,88;14470
 Matina;Olga;PL;53,06;4175
 Medeiros Neto;Beto Pinto;PROS;55,41;7565
 Miguel Calmon;Caca;PT;51,82;7817
 Milagres;Cezar de Aderio;PP;60,94;4400
 Mirangaba;Dirceu Ribeiro;PSD;36,46;3384
 Mirante;Wagner Ramos;PSD;57,07;3508
 Monte Santo;Silvania Matos;PSB;5,32;16922
 Morpará;Lelei Barreto;PT;53,99;3223
 Morro do Chapéu;Juliana Araujo;PL;48,44;9173
 Mortugaba;Heráclito;PT;57,18;4075
 Mucugê;D Ana;DEM;54,37;4147
 Mucuri;Robertinho;DEM;28,73;6355
 Mulungu do Morro;Edimario Boaventura;PSB;50,18;4205
 Mundo Novo;Dr Adriano;PSB;52,22;5923
 Muniz Ferreira;Professor Gileno;PP;59,11;3763
 Muquém do São Francisco;Mara Rios;PT;54,75;4229
 Muritiba;Danilo de Babão;PSD;63,53;10457
 Mutuípe;Digão;MDB;62,44;8062
 Nazaré;Eunice Barreto Peixoto;DEM;45,09;7511
 Nilo Peçanha;Jacqueline;DEM;50,44;3867
 Nordestina;Eliete de Ito;PSD;55,44;4359
 Nova Canaã;Dr Marival;PP;57,49;5291
 Nova Fátima;Adriano de Rosalvo;PP;58,72;3730
 Nova Ibiá;Murilo;PSD;64,67;2709
 Nova Itarana;Danilo de Zeu;PSD;87,44;4199
 Nova Redenção;Guilma Soares;PT;41,85;2123
 Nova Soure;Cassinho;PSD;45,34;7036
 Nova Viçosa;Luciana;PP;49,31;11222
 Novo Horizonte;Djalma;PP;67,46;4990
 Novo Triunfo;Matheus Bob;PP;57,06;3660
 Olindina;Luiz Alberto;PSD;47,98;6870
 Oliveira dos Brejinhos;Silvinho;PSD;62,44;8331
 Ouriçangas;Tonho de Fiito;PSB;68,23;3518
 Ourolândia;Zé do Povo;DEM;53,35;5592
 Palmas de Monte Alto;Manoel Rubens;PSD;43,74;5944
 Palmeiras;Ricardo Guimarães;PSD;43,49;2488
 Paramirim;Beto;PSB;5,17;7255
 Paratinga;Marcel;PT;59,36;11044
 Paripiranga;Justino Neto;PROS;5,05;8461
 Pau Brasil;Babi de Prado;PSD;49,58;3005
 Paulo Afonso;Luiz de Deus;PSD;39,66;23015
 Pé de Serra;Edgar Miranda;PSD;49,55;4950
 Pedrão;Galego da Saúde;PSD;73,41;3711
 Pedro Alexandre;Yuri Andrade;PP;59,15;4659
 Piatã;Marcos Paulo;PDT;52,83;6741
 Pilão Arcado;Orgeto Bastos;PP;7,92;16439
 Pindaí;Joao Veiga;PP;57,68;5992
 Pindobaçu;Dr Davi;PP;53,94;6751
 Pintadas;Valcyr;PT;52,74;3619
 Piraí do Norte;Ulysses Veiga;PP;70,97;3888
 Piripá;Flavio;PTB;47,07;3342
 Piritiba;Samuel;PP;55,44;6127
 Planaltino;Romi;PL;51,59;2894
 Planalto;Cloves;PT;52,39;7993
 Poções;Dona Nilda;PC do B;47,27;12289
 Pojuca;Duda Leite;PSDB;65,26;12376
 Ponto Novo;Thiago Gilleno;PSD;53,59;5673
 Porto Seguro;Janio Natal;PL;41,17;28366
 Potiraguá;Jorge Cheles;PP;64,95;4144
 Prado;Gilvan;PSD;60,15;10376
 Presidente Dutra;Robertao;MDB;59,48;5516
 Presidente Jânio Quadros;Lélio Júnior;PL;51,82;4292
 Presidente Tancredo Neves;Toin do Bó;PP;42,12;6801
 Queimadas;Dr Andre;PT;51,94;7978
 Quijingue;Nininho Gois;PL;71,54;11820
 Quixabeira;Reginaldo;DEM;56,39;3974
 Rafael Jambeiro;Cibele;PT;52,51;7290
 Remanso;Marcos Palmeira;PC do B;55,46;13193
 Retirolândia;Vonte do Merim;PSD;63,24;6398
 Riachão das Neves;Miguel Crisostomo;PSD;53,99;8208
 Riachão do Jacuípe;Carlinhos Matos;DEM;46,21;10114
 Riacho de Santana;Tito;PP;48,63;9036
 Ribeira do Amparo;Germano Santana;PT;51,32;4802
 Ribeira do Pombal;Eriksson;PSD;52,62;16486
 Ribeirão do Largo;Rebinha;PP;56,09;3456
 Rio de Contas;Dr Cristiano;PSB;59,15;5700
 Rio do Antônio;Gerson Martins;PP;62,16;5364
 Rio do Pires;Vânio de Gildásio;PP;54,02;4008
 Rio Real;Carroça;PP;4,85;10607
 Rodelas;Emanuel;PC do B;51,87;3155
 Ruy Barbosa;Cláudio Serrada;PSD;64,36;10750
 Salinas da Margarida;Wilson;PSD;64,54;6839
 Salvador;Bruno Reis;DEM;6,42;779408
 Santa Bárbara;Edifrancio;PSD;49,26;7092
 Santa Brígida;Elton;PT;53,25;4568
 Santa Cruz da Vitória;Professor Maurício;PSDB;5,07;1850
Santa Cruz Cabrália;Agnelo Santos;PSD;40,12;5840
 Santa Inês;Professor Emerson;PT;83,07;4862
 Santa Luzia;Fernando Brito;PSD;52,56;3659
 Santa Maria da Vitória;Tonho de Ze de Agdonio;PL;54,14;12957
 Santa Rita de Cássia;Zezo;PSDB;51,35;9299
 Santa Terezinha;Agnaldo Andrade;PSD;49,07;3432
 Santaluz;Dr Arismário;AVANTE;54,59;13644
 Santana;Marcão;PP;66,52;10228
 Santanópolis;Vitor do Posto;PP;50,54;3557
 Santo Amaro;Alessandra Gomes;PSD;39,49;13748
 Santo Antônio de Jesus;Genival;PSDB;53,82;29361
 Santo Estevão;Rogerio;PT;4,44;12024
 São Desidério;Zé Carlos;PP;68,72;13753
 São Domingos;Ilario Carneiro;PSD;52,49;3566
 São Felipe;Choquinha;REPUBLICANOS;52,31;7295
 São Félix;Alex;DEM;61,28;4978
 São Félix do Coribe;Chepa Ribeiro;PP;54,52;5573
 São Francisco do Conde;Calmon;PP;61,96;17032
 São Gabriel;Hipólito;PP;57,33;7150
 São Gonçalo dos Campos;Tarcísio;SOLIDARIEDADE;54,24;12169
 São José da Vitória;Jeová Nunes;PSB;53,82;2071
 São José do Jacuípe;Peris;PP;55,47;3761
 São Miguel das Matas;Baleia;PSDB;56,91;4350
 São Sebastião do Passé;Nilza da Mata;PP;53,14;13809
 Sapeaçu;Doutor George;DEM;6,27;7531
 Sátiro Dias;Pedrito;PSB;57,72;5768
 Saubara;Marcia de Bolinha;AVANTE;50,48;5117
 Saúde;Auci do Haras;PDT;40,15;2670
 Seabra;Fábio Lago Sul;PP;60,87;15646
 Sebastião Laranjeiras;Dr Pedro;PSB;50,05;2868
 Senhor do Bonfim;Laércio Junior;DEM;51,52;19363
 Sento Sé;Ana Passos;PSD;62,18;14617
 Serra do Ramalho;Lica;PSDB;43,25;8303
 Serra Dourada;Nenenzao;PT;50,85;6167
 Serra Preta;Franklin Leite;DEM;57,52;7695
 Serrinha;Adriano Lima;PP;53,21;24436
 Serrolândia;Gildo Mota;PC do B;53,89;3998
 Simões Filho;Dinha;MDB;5,51;33972
 Sítio do Mato;Cassio Cursino;PSD;53,07;4663
 Sítio do Quinto;Jair Santos;PSD;64,57;4864
 Sobradinho;Cleivinho;PSD;48,61;7490
 Souto Soares;André;PT;72,47;8054
 Tabocas do Brejo Velho;Flavio Fogão Goiano;PP;50,96;4503
 Tanhaçu;João Francisco;PP;48,83;7098
 Tanque Novo;Dr Ricardo;PP;50,66;5827
 Tanquinho;Zé Luiz;PT;51,93;2846
 Taperoá;Kitty;PP;5,44;5841
 Tapiramutá;Roberto;PC do B;54,52;4533
 Teixeira de Freitas;Doutor Marcelo Belitardo;DEM;60,91;45433
 Teodoro Sampaio;Bitinho;PL;53,77;2886
 Teofilândia;Higo Moura;REPUBLICANOS;53,09;7172
 Teolândia;Rosa;PP;57,53;5164
 Terra Nova;Éder de Nilda;CIDADANIA;39,57;3115
 Tremedal;Dr. Zé Bahia;PODE;4,63;5198
 Tucano;Ricardo Maia;PSD;49,27;14166
 Uauá;Marcos Lobo;PDT;0,5;8081
 Ubaíra;Lucio Monteiro;PSD;50,47;6290
 Ubaitaba;Bêda;MDB;63,25;6623
 Ubatã;Tinho;PSB;65,81;5908
 Uibaí;Birinha;PDT;65,55;5914
 Umburanas;Roberto Bruno;DEM;49,62;4560
 Una;Tiago de Dejair;PP;84,89;9582
 Urandi;Warlei;PSD;50,67;5213
Uruçuca;Moacyr;DEM;51,75;6932
 Utinga;Joyuson Vieira;PSB;41,51;3989
 Valença;Jairo;PP;46,58;20904
 Valente;Ubaldino Amaral;DEM;7,43;10651
 Várzea da Roça;Danillo Sales;PC do B;6,98;5645
 Várzea do Poço;Carneiro;PC do B;50,44;2762
 Várzea Nova;Joao Hebert Araujo da Silva;PSL;57,26;4522
 Varzedo;Bahia;PSC;62,81;4345
 Vera Cruz;Vinicius;MDB;86,29;20966
 Vereda;Manrick Teixeira;PP;51,59;2859
Vitória da Conquista;Zé Raimundo;PT;47,63;81721
 Wagner;Elter Bastos;PSB;61,16;3207
 Wanderley;Fernanda Sá Teles;PP;57,92;5323
 Wenceslau Guimarães;Kaká;REPUBLICANOS;55,13;6941
 Xique-xique;Reinaldinho;MDB;55,65;14573
